experiment,disease,topic,project,gt,total,tp,fp,fn,tn,strong,possible,unlikely,errors,missing_gt,recall,precision,f1,fdr,nns,workload_reduction
leads_mistral_strict_simple_20260506_185524,covid19,serial_interval,13,51,111,49,54,2,6,0,103,8,0,0,0.9607843137254902,0.47572815533980584,0.6363636363636364,0.5242718446601942,2.1020408163265305,0.05405405405405406
leads_mistral_strict_simple_20260506_185524,covid19,serial_interval,14,9,94,9,62,0,23,0,71,23,0,0,1.0,0.1267605633802817,0.22499999999999998,0.8732394366197183,7.888888888888889,0.24468085106382978
leads_mistral_strict_simple_20260506_185524,mpox,fatality,4,14,46,2,1,12,31,0,3,43,0,0,0.14285714285714285,0.6666666666666666,0.23529411764705882,0.33333333333333337,1.5,0.6739130434782609
leads_mistral_strict_simple_20260506_185524,mpox,fatality,7,27,952,10,231,17,694,0,241,711,0,0,0.37037037037037035,0.04149377593360996,0.07462686567164178,0.9585062240663901,24.1,0.7289915966386554
leads_mistral_strict_simple_20260506_185524,mpox,fatality,8,14,582,4,101,10,467,0,105,477,0,0,0.2857142857142857,0.0380952380952381,0.06722689075630253,0.9619047619047619,26.249999999999996,0.802405498281787
leads_mistral_strict_simple_20260506_185524,mpox,fatality,12,16,146,2,21,14,109,0,23,123,0,0,0.125,0.08695652173913043,0.10256410256410256,0.9130434782608696,11.5,0.7465753424657534
leads_mistral_strict_simple_20260506_185524,mpox,reproduction_number,9,3,423,2,77,1,343,0,79,344,0,0,0.6666666666666666,0.02531645569620253,0.048780487804878044,0.9746835443037974,39.5,0.8108747044917257
leads_mistral_strict_simple_20260506_185524,mpox,serial_interval,5,8,18,4,2,4,8,0,6,12,0,0,0.5,0.6666666666666666,0.5714285714285715,0.33333333333333337,1.5,0.4444444444444444
leads_mistral_strict_simple_20260506_185524,mpox,serial_interval,6,5,55,4,34,1,16,0,38,17,0,0,0.8,0.10526315789473684,0.18604651162790697,0.8947368421052632,9.5,0.2909090909090909
leads_mistral_strict_simple_20260506_185524,mpox,serial_interval,10,15,164,11,55,4,94,0,66,98,0,0,0.7333333333333333,0.16666666666666666,0.2716049382716049,0.8333333333333334,6.0,0.573170731707317
leads_mistral_strict_simple_20260506_185524,mpox,serial_interval,11,5,27,4,16,1,6,0,20,7,0,0,0.8,0.2,0.32000000000000006,0.8,5.0,0.2222222222222222
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro,covid19,fatality,4,56,345,54,152,2,137,191,15,139,0,0,0.9642857142857143,0.2621359223300971,0.4122137404580153,0.7378640776699029,3.814814814814815,0.39710144927536234
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro,covid19,fatality,5,48,1881,48,180,0,1653,150,78,1653,1,0,1.0,0.21052631578947367,0.34782608695652173,0.7894736842105263,4.75,0.8787878787878788
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro,covid19,fatality,6,32,2253,30,688,2,1533,540,178,1535,0,0,0.9375,0.04178272980501393,0.07999999999999999,0.958217270194986,23.933333333333334,0.6804260985352862
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro,covid19,reproduction_number,7,122,571,97,41,25,409,113,25,433,3,1,0.7950819672131147,0.7028985507246377,0.7461538461538463,0.2971014492753623,1.422680412371134,0.7162872154115587
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro,covid19,reproduction_number,8,44,574,43,240,1,290,202,81,291,1,0,0.9772727272727273,0.1519434628975265,0.26299694189602446,0.8480565371024735,6.5813953488372094,0.5052264808362369
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro,covid19,reproduction_number,15,25,709,25,415,0,269,318,122,269,0,0,1.0,0.056818181818181816,0.1075268817204301,0.9431818181818182,17.6,0.37940761636107195
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro,covid19,reproduction_number,16,36,575,32,245,4,294,192,85,298,0,0,0.8888888888888888,0.11552346570397112,0.20447284345047922,0.8844765342960289,8.65625,0.5113043478260869
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro,covid19,reproduction_number,17,15,209,13,102,2,92,82,33,94,0,0,0.8666666666666667,0.11304347826086956,0.19999999999999998,0.8869565217391304,8.846153846153847,0.44019138755980863
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro,covid19,serial_interval,10,28,598,25,31,3,539,42,14,542,1,0,0.8928571428571429,0.44642857142857145,0.5952380952380952,0.5535714285714286,2.2399999999999998,0.9013377926421404
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro,covid19,serial_interval,11,76,839,74,89,2,674,126,37,676,2,0,0.9736842105263158,0.4539877300613497,0.6192468619246863,0.5460122699386503,2.2027027027027026,0.8033373063170441
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro,covid19,serial_interval,12,19,146,17,23,2,104,29,11,106,0,0,0.8947368421052632,0.425,0.576271186440678,0.575,2.3529411764705883,0.7123287671232876
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro,covid19,serial_interval,13,51,110,44,35,7,24,58,21,31,1,0,0.8627450980392157,0.5569620253164557,0.676923076923077,0.44303797468354433,1.7954545454545456,0.21818181818181817
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro,covid19,serial_interval,14,9,94,8,44,1,41,42,10,42,0,0,0.8888888888888888,0.15384615384615385,0.2622950819672132,0.8461538461538461,6.5,0.43617021276595747
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro,mpox,fatality,4,14,92,7,17,7,61,5,19,68,0,0,0.5,0.2916666666666667,0.3684210526315789,0.7083333333333333,3.4285714285714284,0.6630434782608695
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro,mpox,fatality,7,27,352,26,54,1,271,49,31,272,0,0,0.9629629629629629,0.325,0.4859813084112149,0.675,3.0769230769230766,0.7698863636363636
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro,mpox,fatality,8,14,683,12,130,2,539,21,121,541,0,0,0.8571428571428571,0.08450704225352113,0.15384615384615383,0.9154929577464789,11.833333333333334,0.7891654465592972
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro,mpox,fatality,12,16,642,15,142,1,484,26,131,485,1,0,0.9375,0.09554140127388536,0.17341040462427748,0.9044585987261147,10.466666666666667,0.7538940809968847
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro,mpox,reproduction_number,9,3,819,3,18,0,798,9,12,798,0,0,1.0,0.14285714285714285,0.25,0.8571428571428572,7.0,0.9743589743589743
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro,mpox,serial_interval,5,8,59,6,18,2,33,14,10,35,0,0,0.75,0.25,0.375,0.75,4.0,0.559322033898305
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro,mpox,serial_interval,6,5,522,5,66,0,451,14,57,451,0,0,1.0,0.07042253521126761,0.13157894736842107,0.9295774647887324,14.2,0.8639846743295019
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro,mpox,serial_interval,10,15,612,15,27,0,570,25,17,570,0,0,1.0,0.35714285714285715,0.5263157894736842,0.6428571428571428,2.8,0.9313725490196079
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro,mpox,serial_interval,11,5,63,5,18,0,40,14,9,40,0,0,1.0,0.21739130434782608,0.3571428571428571,0.782608695652174,4.6000000000000005,0.6349206349206349
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus,covid19,fatality,4,56,345,53,159,3,130,184,28,133,0,0,0.9464285714285714,0.25,0.39552238805970147,0.75,4.0,0.37681159420289856
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus,covid19,fatality,5,48,1882,48,147,0,1687,142,53,1687,0,0,1.0,0.24615384615384617,0.39506172839506176,0.7538461538461538,4.0625,0.8963868225292242
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus,covid19,fatality,6,32,2253,32,711,0,1510,458,285,1510,0,0,1.0,0.04306864064602961,0.08258064516129032,0.9569313593539703,23.21875,0.6702174877940523
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus,covid19,reproduction_number,7,122,574,120,101,2,351,127,94,353,0,0,0.9836065573770492,0.5429864253393665,0.6997084548104956,0.4570135746606335,1.8416666666666668,0.6114982578397212
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus,covid19,reproduction_number,8,44,575,44,269,0,262,201,112,262,0,0,1.0,0.14057507987220447,0.2464985994397759,0.8594249201277955,7.113636363636364,0.45565217391304347
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus,covid19,reproduction_number,15,25,709,25,438,0,246,329,134,246,0,0,1.0,0.05399568034557235,0.10245901639344263,0.9460043196544277,18.52,0.3469675599435825
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus,covid19,reproduction_number,16,36,575,34,288,2,251,195,127,253,0,0,0.9444444444444444,0.10559006211180125,0.18994413407821228,0.8944099378881988,9.470588235294118,0.4365217391304348
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus,covid19,reproduction_number,17,15,209,15,110,0,84,80,45,84,0,0,1.0,0.12,0.21428571428571425,0.88,8.333333333333334,0.4019138755980861
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus,covid19,serial_interval,10,28,599,27,30,1,541,41,16,542,0,0,0.9642857142857143,0.47368421052631576,0.6352941176470588,0.5263157894736843,2.111111111111111,0.9031719532554258
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus,covid19,serial_interval,11,76,841,73,99,3,666,126,46,669,0,0,0.9605263157894737,0.42441860465116277,0.5887096774193548,0.5755813953488372,2.356164383561644,0.7919143876337693
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus,covid19,serial_interval,12,19,146,18,28,1,99,28,18,100,0,0,0.9473684210526315,0.391304347826087,0.5538461538461538,0.6086956521739131,2.5555555555555554,0.678082191780822
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus,covid19,serial_interval,13,51,111,45,40,6,20,62,23,26,0,0,0.8823529411764706,0.5294117647058824,0.661764705882353,0.47058823529411764,1.8888888888888888,0.18018018018018017
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus,covid19,serial_interval,14,9,94,8,54,1,31,43,19,32,0,0,0.8888888888888888,0.12903225806451613,0.22535211267605634,0.8709677419354839,7.75,0.32978723404255317
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus,mpox,fatality,4,14,92,5,14,9,64,5,14,73,0,0,0.35714285714285715,0.2631578947368421,0.30303030303030304,0.736842105263158,3.8000000000000003,0.6956521739130435
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus,mpox,fatality,7,27,352,27,59,0,266,48,38,266,0,0,1.0,0.313953488372093,0.47787610619469023,0.686046511627907,3.185185185185185,0.7556818181818182
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus,mpox,fatality,8,14,683,12,116,2,553,17,111,555,0,0,0.8571428571428571,0.09375,0.16901408450704225,0.90625,10.666666666666666,0.8096632503660323
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus,mpox,fatality,12,16,643,14,136,2,491,23,127,493,0,0,0.875,0.09333333333333334,0.1686746987951807,0.9066666666666666,10.714285714285714,0.7636080870917574
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus,mpox,reproduction_number,9,3,819,3,17,0,799,5,15,799,0,0,1.0,0.15,0.2608695652173913,0.85,6.666666666666667,0.9755799755799756
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus,mpox,serial_interval,5,8,59,7,24,1,27,16,15,28,0,0,0.875,0.22580645161290322,0.358974358974359,0.7741935483870968,4.428571428571429,0.4576271186440678
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus,mpox,serial_interval,6,5,522,5,56,0,461,13,48,461,0,0,1.0,0.08196721311475409,0.1515151515151515,0.9180327868852459,12.200000000000001,0.8831417624521073
model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus,mpox,serial_interval,10,15,612,14,32,1,565,21,25,566,0,0,0.9333333333333333,0.30434782608695654,0.45901639344262296,0.6956521739130435,3.2857142857142856,0.923202614379085
