model_source,model_display,disease,title,row_type,topic,project,label,gt,tp,fp,raw,recall,nns,nns_lo,nns_hi,project_count,source_experiment
calibrated_qwen3_6_plus_v1_recall,Calibrated Qwen3.6 Plus v1-R,mpox,Mpox,subtotal,Serial Interval,,Serial Interval,33,31,62,1256,0.9393939393939394,3.0,2.3037907367937365,4.067977005141747,4,
calibrated_qwen3_6_plus_v1_recall,Calibrated Qwen3.6 Plus v1-R,mpox,Mpox,project,Reproduction Number,9,"Okoli et al., 2024",3,3,3,819,1.0,2.0,1.2309401335874803,5.330126533079186,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_recall_20260509
calibrated_qwen3_6_plus_v1_recall,Calibrated Qwen3.6 Plus v1-R,mpox,Mpox,subtotal,Reproduction Number,,Reproduction Number,3,3,3,819,1.0,2.0,1.2309401335874803,5.330126533079186,1,
calibrated_qwen3_6_plus_v1_recall,Calibrated Qwen3.6 Plus v1-R,mpox,Mpox,project,Fatality,12,"Sanchez Clemente et al., 2024",16,15,79,643,0.9375,6.266666666666667,4.05307513301804,10.085193311426403,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_recall_20260509
calibrated_qwen3_6_plus_v1_recall,Calibrated Qwen3.6 Plus v1-R,mpox,Mpox,project,Fatality,4,"Cadmus et al., 2024",14,11,10,92,0.7857142857142857,1.9090909090909092,1.3955509447286443,3.089354840395322,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_recall_20260509
calibrated_qwen3_6_plus_v1_recall,Calibrated Qwen3.6 Plus v1-R,mpox,Mpox,project,Fatality,7,"Vasudevan et al., 2025",27,27,59,352,1.0,3.185185185185185,2.3911659796746605,4.432397257636725,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_recall_20260509
calibrated_qwen3_6_plus_v1_recall,Calibrated Qwen3.6 Plus v1-R,mpox,Mpox,project,Fatality,8,"Sharif et al., 2023",14,12,116,683,0.8571428571428571,10.666666666666666,6.380344203378573,18.367744685510317,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_recall_20260509
calibrated_qwen3_6_plus_v1_recall,Calibrated Qwen3.6 Plus v1-R,mpox,Mpox,subtotal,Fatality,,Fatality,71,65,264,1770,0.9154929577464789,5.061538461538461,4.098744134731437,6.32347749840466,4,
gemini_2_5_flash,Gemini 2.5 Flash,covid19,COVID-19,project,Serial Interval,10,"Madewell et al., 2023",28,27,60,599,0.9642857142857143,3.2222222222222223,2.416391834254811,4.486515161629962,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash
gemini_2_5_flash,Gemini 2.5 Flash,covid19,COVID-19,project,Serial Interval,11,"Xu et al., 2023",76,72,108,841,0.9473684210526315,2.5,2.1144428747920143,3.018946014096873,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_openrouter_google-gemini-2-5-flash
