model_source,model_display,disease,title,row_type,topic,project,label,gt,tp,fp,raw,recall,nns,nns_lo,nns_hi,project_count,source_experiment
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,covid19,COVID-19,project,Reproduction Number,8,"Ahammed et al., 2021",44,44,269,575,1.0,7.113636363636363,5.4509771413106,9.397380709929072,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,covid19,COVID-19,project,Reproduction Number,15,"Billah et al., 2020",25,25,438,709,1.0,18.52,12.739863635425056,27.145993644574947,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,covid19,COVID-19,project,Reproduction Number,16,"Yu et al., 2021",36,34,288,575,0.9444444444444444,9.470588235294118,6.947788155710178,13.063453366781173,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,covid19,COVID-19,project,Reproduction Number,17,"Alimohamadi et al., 2020",15,15,110,209,1.0,8.333333333333334,5.302922133776722,13.497966755112165,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,covid19,COVID-19,subtotal,Reproduction Number,,Reproduction Number,242,238,1206,2642,0.9834710743801653,6.067226890756302,5.410046923887695,6.822339037555703,5,
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,covid19,COVID-19,project,Fatality,4,"Lim et al., 2021",56,53,159,345,0.9464285714285714,4.0,3.2011379927446404,5.088794082727056,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,covid19,COVID-19,project,Fatality,5,"Ioannidis et al., 2021",48,48,147,1882,1.0,4.0625,3.214050659350272,5.236084757316395,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,covid19,COVID-19,project,Fatality,6,"Alimohamadi et al., 2021",32,32,711,2253,1.0,23.21875,16.620259168533035,32.604651768966974,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,covid19,COVID-19,subtotal,Fatality,,Fatality,136,133,1017,4480,0.9779411764705882,8.646616541353383,7.383925086069616,10.159058689157925,3,
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,mpox,Mpox,project,Serial Interval,10,"Wu et al., 2025",15,14,32,612,0.9333333333333333,3.2857142857142856,2.2318479971306675,5.241180574297904,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,mpox,Mpox,project,Serial Interval,11,"Diaz Brochero et al., 2025",5,5,18,63,1.0,4.6,2.3864138491213427,10.34785815087866,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,mpox,Mpox,project,Serial Interval,5,"Wang et al., 2022",8,7,24,59,0.875,4.428571428571429,2.511757533327667,8.775785323815189,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,mpox,Mpox,project,Serial Interval,6,"Ponce et al., 2024",5,5,56,522,1.0,12.2,5.619592237686164,28.15391176231385,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,mpox,Mpox,subtotal,Serial Interval,,Serial Interval,33,31,130,1256,0.9393939393939394,5.193548387096774,3.8412763848312714,7.189418308196825,4,
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,mpox,Mpox,project,Reproduction Number,9,"Okoli et al., 2024",3,3,17,819,1.0,6.666666666666667,2.774515441736703,19.095706780485525,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,mpox,Mpox,subtotal,Reproduction Number,,Reproduction Number,3,3,17,819,1.0,6.666666666666667,2.774515441736703,19.095706780485525,1,
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,mpox,Mpox,project,Fatality,12,"Sanchez Clemente et al., 2024",16,14,136,643,0.875,10.714285714285714,6.641641940778346,17.726929487793083,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,mpox,Mpox,project,Fatality,4,"Cadmus et al., 2024",14,5,14,92,0.35714285714285715,3.8,2.049517639788949,8.470098360211054,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,mpox,Mpox,project,Fatality,7,"Vasudevan et al., 2025",27,27,59,352,1.0,3.185185185185185,2.3911659796746605,4.432397257636725,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,mpox,Mpox,project,Fatality,8,"Sharif et al., 2023",14,12,116,683,0.8571428571428571,10.666666666666666,6.380344203378573,18.367744685510317,,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus
boyue_qwen3_6_plus,Boyue Qwen3.6 Plus,mpox,Mpox,subtotal,Fatality,,Fatality,71,58,325,1770,0.8169014084507042,6.603448275862069,5.24142815803816,8.402844374661008,4,
